datetime,game_length,game_result,time_per_game,training_steps
2024-03-06 19:37:56,38,W+1.0,25.2159,0
2024-03-06 19:38:44,36,W+1.0,36.327,0
2024-03-06 19:39:48,28,W+1.0,45.5433,0
2024-03-06 19:41:10,31,B+1.0,54.7916,0
2024-03-06 19:43:00,42,W+1.0,65.6322,0
2024-03-10 17:02:24,38,W+1.0,76.0241,0
2024-03-10 17:03:30,36,W+1.0,70.9614,0
2024-03-10 17:04:31,28,W+1.0,67.8084,0
2024-03-10 17:05:53,31,B+1.0,71.4155,0
2024-03-10 17:07:35,42,W+1.0,77.4709,0
2024-03-10 17:08:53,30,W+1.0,77.5928,0
2024-03-10 17:10:41,35,B+1.0,81.8637,0
2024-03-10 17:12:55,42,W+1.0,88.4126,0
2024-03-10 17:15:01,40,W+1.0,92.5841,0
2024-03-10 17:17:19,48,W+1.0,97.1803,0
2024-03-10 17:18:18,45,B+1.0,93.6398,0
2024-03-10 17:19:14,40,W+1.0,90.5218,0
